orgname,orgid
Facebook Inc,D000033563
Amazon.com,D000023883
Apple Inc,D000021754
Netflix Inc,D000036161
Google Inc,D000022008
Google.org,D000045455
Cisco Systems,D000000374
Dell EMC,D000000558
Dell Technologies,D000000585
eBay Inc,D000021970
Hewlett Packard Enterprise,D000067800
Hewlett-Packard,D000000716
IBM Business Consulting Services,D000052008
IBM Corp,D000000720
Intel Corp,D000000804
LinkedIn Corp,D000067159
Microsoft Corp,D000000115
Oracle Corp,D000000422
Salesforce.Com,D000037335
Tesla Motors,D000057516
Twitter,D000067113
Qualcomm Inc,D000000794
Yahoo! Inc,D000022330
